Dataset,Model,F1-Score,Prediction Time [ms]
DS1,Logistic Regression,93.77,339.72
DS1,Gaussian Naive Bayes,67.98,647.93
DS1,K-Nearest Neighbors,97.15,36720.09
DS1,Decision Tree,98.19,198.72
DS1,Random Forest,98.96,2488.99
DS1,SVM,93.39,265561.39
DS1,SGD Classifier,88.50,1138.11
DS1,AdaBoost,80.57,6197.62
DS1,XGBoost,99.61,311.11
DS1,ANN,98.76,1557.14
DS2,Logistic Regression,89.09,14.50
DS2,Gaussian Naive Bayes,77.54,57.91
DS2,K-Nearest Neighbors,99.46,30127.62
DS2,Decision Tree,97.87,31.40
DS2,Random Forest,99.26,2055.41
DS2,SVM,81.10,29994.11
DS2,SGD Classifier,78.58,84.59
DS2,AdaBoost,71.87,1404.12
DS2,XGBoost,99.55,234.10
DS2,ANN,91.79,175.00
DS3,Logistic Regression,81.72,11.90
DS3,Gaussian Naive Bayes,83.01,86.52
DS3,K-Nearest Neighbors,87.00,5855.39
DS3,Decision Tree,83.10,34.69
DS3,Random Forest,86.52,3202.61
DS3,SVM,81.10,29708.22
DS3,SGD Classifier,19.06,15.81
DS3,AdaBoost,74.47,711.49
DS3,XGBoost,87.13,191.02
DS3,ANN,78.77,1606.42
